palabra_1,palabra_2,palabra_3,palabra_4,palabra_5,palabra_6,palabra_7,palabra_8,palabra_9,palabra_10,palabra_11,palabra_12,palabra_13,palabra_14,palabra_15,palabra_16,palabra_17,palabra_18,palabra_19,palabra_20,palabra_21,palabra_22,palabra_23,palabra_24,palabra_25,palabra_26,palabra_27,palabra_28,palabra_29,palabra_30,palabra_31,palabra_32,palabra_33,palabra_34,palabra_35,palabra_36,palabra_37,palabra_38,palabra_39,palabra_40,palabra_41,palabra_42,palabra_43,palabra_44,palabra_45,palabra_46,palabra_47,palabra_48,palabra_49,palabra_50,palabra_51,palabra_52,palabra_53,palabra_54,palabra_55,palabra_56,palabra_57,palabra_58,palabra_59,palabra_60,palabra_61,palabra_62,palabra_63,palabra_64,palabra_65,palabra_66,palabra_67,palabra_68,palabra_69,palabra_70,palabra_71,palabra_72,palabra_73,palabra_74,palabra_75
cómo,el,propio,evo,achacollo,lidia,pati,reynaldo,ezequiel,así,de,honestos,o,más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
desatinada,las,declaraciones,del,candidato,vicepresidencial,pero,se,debe,reconocer,que,hay,algunos,profesionales,de,todos,los,gremios,que,carecen,de,honestidad,valores,y,ética,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la,honestidad,y,otros,son,valores,la,inteligencia,la,capacidad,de,resolver,problemas,y,demas,se,adquieren,estudiando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bueno,llegó,la,hora,de,quemar,libros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eso,es,lo,que,decía,evo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
los,de,la,reserva,moral,ponchosabarcas,y,pollera,resultaron,ser,ladrones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ese,discurso,queda,totalmente,obsoleto,en,éstos,tiempos,creo,que,la,educación,es,lo,más,importante,para,sacar,adelante,a,nuestro,país,necesitamos,gente,formada,con,conocimientos,amplios,para,desempeñar,los,cargos,públicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con,razon,fue,policia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,presidente,toto,tuto,tuto,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
escuchándolo,a,este,tipo,vemos,la,importancia,de,la,formación,académica,es,por,eso,q,estamos,como,estamos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,honestidad,hablando,un,paco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,donde,queda,el,esfuerzo,que,ponen,los,padres,para,hacer,educar,a,sus,hijos,el,esfuerzo,de,los,jovenes,y,señoritas,por,aprender,y,salir,adelante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
será,que,conoce,este,la,palabra,honesto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
queremos,un,candidato,bien,preparado,no,solo,que,sea,buena,persona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tan,honesto,el,bocón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,sin,profesión,pero,ser,honesto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si,fuera,honesto,no,andaría,pues,con,procesos,judiciales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,que,honestidad,habla,este,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,paso,lara,no,puedes,decir,eso,la,educación,es,la,base,del,desarrollo,de,la,sociedad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
las,generalizaciones,son,dañinas,señor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opa,opa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aparte,de,ser,honesto,por,lo,menos,tenemos,que,tener,inteligencia,emocional,criterios,para,emprender,y,buscar,soluciones,a,todo,tipo,de,problemas,que,se,presenten,en,base,a,experiencias,anteriores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,tiene,éste,esta,enfermo,necesita,tratamiento,urgente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
para,que,funcione,necesita,ir,acompañada,de,instituciones,sólidas,justicia,efectiva,y,oportunidades,reales,de,movilidad,social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sigue,la,novela,no,soy,profesional,pero,me,siento,un,profesional,el,mismo,argumento,que,los,izquierdistas,lamentable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,de,gobierno,q,presente,para,saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pero,acaso,es,honesto,legalizar,los,autos,chutos,siendo,un,negocio,de,las,mafias,de,chuteros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ingnorancia,vs,educación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jajaja,jaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la,honestidad,a,diferencia,de,la,inteligencia,es,algo,que,no,se,puede,calificar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,la,honestidad,salve,a,los,enfermos,de,los,hospitales,q,gente,sin,preparación,entre,a,un,quirófano,a,operar,solo,xq,es,honesto,o,q,haga,una,quimioterapia,o,hemodiálisis,x,ser,honesto,otitis,crónica,causa,cada,q,se,lo,escucha,a,este,señor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
policías,honestos,dónde,hay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pues,deberías,ser,honesto,entonces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estudiar,es,muy,importante,dejá,de,defender,tu,ignorancia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opa,hay,que,ser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
líbranos,de,todo,mal,señor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,necesario,ser,una,persona,capacitada,para,llevar,adelante,un,país,no,me,quiero,imaginar,la,cara,que,estos,pueden,mostrar,en,conferencia,internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,opa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terrible,este,hombre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basta,de,este,tipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con,razon,los,policías,escriben,cajon,con,g,que,horror,que,cualquiera,se,pueda,postular,deberia,haber,un,filtro,filtro,académico,y,valores,por,que,este,tipo,no,representa,a,la,gente,que,lucha,estudia,y,se,esfuerza,por,crecer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pobrecito,por,lo,menos,en,administración,y,saber,multiplicar,y,dividir,es,importante,aparte,de,ser,honesto,porq,sino,saben,de,números,te,engañan,y,te,roban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,puedo,crer,que,haya,gente,que,votará,por,este,tipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basa,perder,edman,lara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,tanta,cobertura,le,dan,los,periodistas,lo,único,que,están,haciendo,es,que,crezca,su,popularidad,dejen,que,hable,y,no,le,den,cobertura,utilicen,psicología,los,periodistas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajá,por,eso,cuando,eras,paco,extorsionabas,a,la,gente,honesto,qué,hubiera,pasado,si,no,le,daban,de,baja,en,la,policía,haya,continuado,con,su,honestidad,cara,dura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,no,estar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tener,títulos,y,ser,honesto,son,cualidades,muy,importantes,lo,que,no,tiene,ninguno,de,ustedlary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ni,candidato,deberia,ser,este,individuo,solo,quiere,poder,pero,sus,fines,personales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
por,honesto,lo,dieron,de,baja,que,ironía,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la,honestidad,no,basta,además,se,necesita,estar,educado,o,instruido,una,persona,honesta,no,instruida,es,cruel,ofensiva,generadora,de,conflictos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mielda,entonces,para,que,no,sacamos,la,mielda,que,gobiernen,los,burros,entonces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,extraño,solo,las,personas,que,no,son,bachilleres,dicen,eso,como,evo,morales,que,andaba,gritándolo,a,los,cuatro,vientos,que,no,era,bachiller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
este,tipo,me,da,miedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me,da,a,pensar,que,este,señor,se,compró,el,título,ya,que,una,profesión,conlleva,años,de,esfuerzo,y,sacrificio,no,solo,de,los,que,lo,adquieren,sino,también,de,padres,que,su,único,objetivo,es,ver,realizados,a,sus,hijos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
por,honesto,deserto,de,la,policía,que,curioso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seremos,gobierno,y,terminaremos,con,los,corruptos,ladrones,y,vendepatrias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antes,q,conocimiento,es,la,honestidad,de,nada,sirve,mucho,conocimiento,como,vemos,hoy,gente,con,conocimiento,pero,corruptos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ayyy,por,favor,que,resignación,como,si,la,honestidad,solusionara,todo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lo,primero,ser,honesto,y,respetuoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,se,trata,de,tener,titulos,se,trata,de,estar,preparado,para,dirigir,a,un,pais,saber,hablar,y,comunicarse,con,los,diferentes,dirigentes,del,mundo,tener,conocimiento,de,administracion,economia,en,un,mundo,capitalista,no,se,trata,de,ser,campesino,o,jailongo,se,trata,de,tener,una,autoridad,que,nos,represente,y,que,sepa,cuidar,nuestros,intereses,simplemente,eso,,,,,,,,,,,,,,,
desmerece,al,profesional,está,loco,este,tipo,ojalá,que,las,generaciones,actuales,no,lo,sigan,o,lean,las,macanas,que,habla,y,se,vuelvan,conformistas,con,su,forma,de,vida,y,no,aspiren,a,realizarse,profesionalmente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su,lengua,es,más,larga,que,la,corbata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
este,puede,vender,hasta,su,vida,al,diablo,para,obtener,lo,que,quiere,vergenza,daría,hablar,así,de,la,gente,joven,que,se,esfuerza,por,tener,su,título,profesional,de,la,umsa,o,de,alguna,carrera,para,matarlos,con,sus,palabras,que,vierte,verdaderamente,es,una,pena,de,este,señor,,,,,,,,,,,,,,,,,,,,,,,,,
justamente,por,gente,que,no,tenía,títulos,o,conocimiento,es,que,estado,así,por,favor,dejemos,de,crer,que,no,tener,estudios,es,un,logro,basta,de,gente,que,no,sabe,lo,que,hace,y,que,solo,se,victimiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digan,lo,que,digan,hagan,lo,hagan,el,pdc,es,el,futuro,ya,que,los,valores,terminan,con,la,corrupción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
despues,te,llenas,de,acesores,con,titulos,que,opa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,bruto,ese,tipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,que,te,sirve,ser,un,opa,honesto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pero,miren,quien,habla,de,honestidad,el,que,cuenta,con,mas,antecedentes,que,un,delincuente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,risa,que,me,das,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,ser,laris,como,este,suficiente,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todos,son,sinverguenzas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el,ser,honesto,no,es,por,saber,más,o,poco,la,honestidad,es,valor,una,cualidad,q,pocos,lo,tienen,hoy,en,la,politiqueria,nunca,hay,gente,honesta,el,poder,les,corrompe,en,todo,sentido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vergenza,ajena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
este,no,tiene,ni,títulos,menos,honestidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,pena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,que,pasa,con,profesionales,jóvenes,piensan,que,son,como,ellos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,señor,para,llegar,al,poder,se,necesitan,ambas,cosas,ser,honesto,y,tener,títulos,que,avalen,la,capacidad,de,la,persona,para,poder,sacar,a,un,país,adelante,con,el,simple,hecho,de,ser,honestos,no,es,suficiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
incentivando,a,la,ignorancia,y,al,conformismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entonces,para,que,tanto,esfuerzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el,ser,onesto,es,parte,del,ser,son,valores,de,cada,uno,que,tiene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con,un,solo,título,podrías,dejar,de,decir,tanta,tontería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
se,nota,que,las,personas,preparadas,lo,intimidan,mejor,estudie,señor,lara,así,sabrá,que,el,conocimiento,es,poder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kkkkk,como,puej,un,paco,hablando,de,ser,honesto,eso,es,ya,un,colmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ósea,que,este,cre,que,cumple,con,los,requisitos,ya,no,tiene,ningún,grado,le,dieron,de,baja,y,abogado,no,sabemos,y,de,honestidad,hay,que,ver,todas,las,demandas,que,tiene,y,porque,son,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,ignorancia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
para,q,estudio,por,ahí,le,iba,mejor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hace,falta,ser,preparado,estudiar,capacitarse,y,por,supuesto,ser,honesto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pero,que,mejor,sería,un,buen,profecinal,honesto,y,con,valores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
así,es,todos,tenemos,que,ser,onestos,para,tener,larga,vida,bendiciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ser,honesto,y,también,tener,preparación,sr,lara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
son,palabras,de,dictadores,como,hugo,chavez,y,como,esta,ahora,venezuela2,dólares,ganan,al,mes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el,bipolar,del,momento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mucho,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algo,nuevo,queremos,pará,nuestro,país,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hace,falta,tener,estudios,para,saber,manejar,un,país,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bueno,será,que,lara,conoce,que,significa,honestidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oy,en,dia,gente,honecta,tambien,estudia,sabe,mucho,mejor,q,los,q,tienen,experencia,y,ablamos,barias,ideomas,gente,honecto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todo,loque,digas,será,usado,en,tu,contra,perro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,mayor,educación,menor,corrupción,a,menor,educación,mayor,corrupción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si,señor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
masilara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miren,quién,habla,de,honestidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hace,falta,que,volvas,al,colegio,a,estudiar,un,poquito,mas,te,hace,falta,mucho,para,querer,administrar,un,pais,sin,dividir,y,sembrar,mas,odio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eso,es,lo,que,hubieran,querido,que,diga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,naso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
así,es,cuando,tiene,una,dios,jesús,en,su,corazón,si,tienes,jesús,en,su,guen,contra,ti,lodo,lo,gue,cristo,me,fortalece,jehova,peleasra,por,el,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
póngale,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tú,encabezas,a,los,corruptos,y,extorsionadores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estamos,condenados,si,este,muchacho,gana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si,necesitas,una,operación,del,corazón,anda,donde,uno,que,no,sea,médico,pero,que,sea,honesto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
por,pensamientos,como,este,es,que,hay,varios,jóvenes,sin,estudios,dedicarle,solo,a,la,política,y,ser,un,mamon,más,del,estado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pero,de,verdad,hay,que,ser,bruto,para,volver,a,votar,por,este,personaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,es,solo,tene,honestidad,también,a,que,tener,capacidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
