palabra_1,palabra_2,palabra_3,palabra_4,palabra_5,palabra_6,palabra_7,palabra_8,palabra_9,palabra_10,palabra_11,palabra_12,palabra_13,palabra_14,palabra_15,palabra_16,palabra_17,palabra_18,palabra_19,palabra_20,palabra_21,palabra_22,palabra_23,palabra_24,palabra_25,palabra_26,palabra_27,palabra_28,palabra_29,palabra_30,palabra_31,palabra_32,palabra_33,palabra_34,palabra_35,palabra_36,palabra_37,palabra_38,palabra_39,palabra_40,palabra_41,palabra_42,palabra_43,palabra_44,palabra_45,palabra_46,palabra_47,palabra_48,palabra_49,palabra_50,palabra_51,palabra_52,palabra_53,palabra_54,palabra_55,palabra_56,palabra_57,palabra_58,palabra_59,palabra_60,palabra_61,palabra_62,palabra_63,palabra_64,palabra_65,palabra_66,palabra_67,palabra_68,palabra_69,palabra_70,palabra_71,palabra_72,palabra_73,palabra_74,palabra_75
grande,sr,lara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vaya,manera,de,fomentar,l,flojera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otro,que,fomenta,a,qué,los,jóvenes,no,estudienque,decepcion,de,persona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cada,dia,este,tipo,es,noticia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su,formación,lo,dice,todo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eres,un,tarado,con,el,respeto,que,se,merecen,los,policias,excluyendote,a,ti,por,corrupto,y,estafador,cuando,dices,que,los,títulos,no,importan,es,que,tu,jamas,tendras,ni,una,y,por,eso,eres,un,renegado,social,finges,tu,conducta,ipocrita,y,demagogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qué,tipo,más,desagradable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
más,honestos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajajaja,lo,importante,es,hablar,sin,razonar,para,no,ser,historia,eso,pensó,este,personaje,una,vergenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esa,era,su,ideología,comunista,de,evo,morales,y,arce,catacora,como,estamos,ahora,en,la,miseria,ybeste,tipo,piensa,lo,mismo,quieren,q,todos,los,q,les,rodean,en,su,gabinete,sean,siegos,sordos,y,mudos,para,q,no,sepan,lo,q,hacen,esto,es,lo,más,detestable,q,se,ha,escuchado,de,la,boca,de,este,personaje,,,,,,,,,,,,,,,,
más,opa,no,puede,ser,por,eso,esta,así,el,sin,diésel,ni,gasolina,por,gente,que,no,sabe,loque,tiene,que,hacer,la,profesión,es,un,futuro,para,toda,la,vida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claro,cualquiera,piede,sacarnos,de,la,crisis,el,problema,es,que,él,no,es,honesto,ni,tiene,títulos,ni,nada,tener,títulos,y,preparación,no,está,reñido,con,la,honestidad,así,que,no,justifiques,tu,ignorancia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
como,las,hermanas,terán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,es,verdad,lo,que,que,vale,hoy,la,honestidad,eso,viene,cuando,el,salario,es,lo,suficiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,la,pura,verdad,lo,que,te,hace,grande,y,para,ser,líder,es,el,conocimiento,y,buen,manejo,de,la,inteligencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lo,que,necesitamos,es,profesionales,honestos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,porque,el,es,un,profesional,deshonesto,todos,van,a,ser,como,él,con,razón,se,hizo,votar,de,la,policia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
por,eso,estamos,como,estamos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miechi,cada,comentario,que,habla,este,sr,lara,es,realmente,una,burla,semejante,ignorancia,su,comentario,con,esas,ideas,se,retrocede,900,a,1000,años,para,poder,decir,tales,expresiones,valores,suelen,estar,ligados,a,crencias,principios,éticos,como,ser,la,honestidad,respeto,el,conocimiento,es,la,informacion,experiencia,habilidades,adquiridos,a,la,experiencia,el,estudio,por,lo,que,no,es,suficiente,decir,semejantes,expresiones,por,parte,de,un,ex,funcionario,público,que,buscaba,justicia
que,el,voto,nos,libre,de,éste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trabajo,duro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llocaya,al,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tiene,cara,de,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xuxa,gana,estos,weones,estamos,perdidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o,sea,que,cualquier,persona,sin,ningún,estudio,puede,gobernar,un,país,que,irracionalidad,hasta,donde,llega,la,angurria,de,poder,que,cualquier,discurso,es,posible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hay,que,ver,el,lado,bueno,si,en,caso,ganará,paz,y,lara,podremos,nacionalizar,los,autos,qué,robemos,de,perú,o,chile,o,motos,mi,voto,es,por,el,pdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,lgnorancia,tan,grande,pero,lara,debe,estar,mal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el,muy,honesto,con,procesos,judiciales,que,tal,esa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la,ignorancia,es,atrevida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuerza,lara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,una,pena,tener,gouvernantes,que,no,tienen,carrera,porque,eso,son,los,ladrones,sin,ir,lejos,los,masistas,ladrones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,parezca,un,accidente,antes,que,se,cre,otro,evo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claro,por,el,pueblo,exactamente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
este,tipo,da,vergenza,con,su,vocabulario,florido,de,malas,palabras,vulgar,no,tiene,respecto,a,nadie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dios,mediante,rodrigo,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
realmente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esa,es,una,afirmación,muy,cierta,de,que,sirve,ser,el,mejor,estudiante,ser,el,más,inteligente,y,si,usas,esa,inteligencia,para,dañar,robar,corromper,etc,con,gente,con,valores,como,la,honestidad,sinceridad,respeto,nuestro,país,cambiaria,mucho,pero,muchisimo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con,este,habra,tremenda,corrupcion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
por,qué,son,expertos,en,robar,sin,ningún,esfuerzo,tienen,bolsillos,llenos,de,millones,yo,solo,confío,en,dios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hecho,a,los,honestos,paco,collmero,corrupto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paco,extorsionador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jovenes,de,bolivia,estudien,no,le,hagan,caso,a,este,opa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
das,risa,payas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el,mejor,título,la,honestidad,y,el,patriotismo,cuanto,mas,títulos,mas,ladrones,son,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,pena,por,eso,nuestra,patria,está,asi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claro,que,no,pero,le,queda,grande,hablar,de,honestidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el,extorsionador,ablando,de,honestidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honesto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
use,su,cerebrito,para,hablar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honesto,sin,cerebro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
este,lara,con,que,moral,dirá,a,sus,hijos,que,estudien,pufff,mal,muy,mal,cada,vez,en,decadencia,este,personaje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
una,persona,honesta,no,se,mete,a,postular,a,un,cargo,para,el,cual,no,está,preparado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ja,ja,ja,tu,honesto,ja,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,ser,masiburro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,increíble,que,la,gente,aborrezca,los,principios,como,la,honestidad,y,la,sinceridad,no,por,nada,somos,el,2do,país,más,corrupto,del,mundo,está,sociedad,está,enferma,y,se,merecen,un,presidente,como,tuto,para,que,sufran,como,la,paria,que,son,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bipolar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eso,es,lo,que,queremos,para,bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ladron,sinverguenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
este,es,su,hijo,predilecto,del,evaristo,espero,q,la,población,escoja,bien,está,ves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
las,mismas,palabras,del,pedófiloy,termino,destruyendo,este,pais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
él,ha,sido,policía,y,luego,sacó,su,profesión,de,abogado,sus,hijos,están,estudiando,el,habla,de,que,los,que,tienen,profesión,roban,más,que,los,que,no,tienen,profesión,pero,eso,mismo,aplica,para,él,ya,que,tiene,dos,títulos,increíble,como,sus,seguidores,le,aplauden,semejante,barbaridad,,,,,,,,,,,,,,,,,,,,,,,,,
no,veo,nada,de,honestidad,en,este,tipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cómo,un,candidato,a,la,presidencia,no,le,da,importancia,a,los,estudios,con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,este,quiere,ser,vicepresidente,dios,nos,libre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vamos,lara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,los,tenga,pero,entonces,lea,más,infórmese,y,estudie,muchísimo,por,que,el,país,necesita,hombres,íntegros,para,sacar,adelante,a,toda,la,población,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
honesto,dios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eso,es,lo,que,personas,con,o,sin,título,no,lo,tienen,la,honestidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,dolor,de,cabeza,da,escucharle,hablar,asi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con,razon,esa,gente,nos,gobierna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pero,este,señor,no,conoce,la,honestidad,acaso,donde,se,formo,y,trabajo,conocen,esta,cualidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rencoroso,solo,quiere,a,rencoroso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenias,q,ser,paco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ese,corrupto,tiene,que,rendir,cuentas,la,gente,humilde,sufrió,mucho,con,ese,personaje,autoritarioesta,fuera,de,la,carrera,por,que,se,empeñan,en,repetir,siempre,lomismo,el,masismo,ya,murió,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
una,cosa,debería,ser,ilegal,en,este,país,y,eso,sería,la,ignorancia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laugh,lol,gif,by,dominicanas,got,talent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cata,cora,economista,catedrático,de,k,sirvivio,igual,tuto,se,la,savem,todas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la,ignorancia,tiene,la,le,gua,muy,larga,como,del,lagarto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
este,opa,que,sabe,de,honestidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,se,postulen,los,del,kínder,son,más,honestos,los,niños,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
indignante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,entiendo,como,hay,gente,q,salió,profesional,que,le,costó,que,tuvieron,q,sacrificarse,estén,apoyando,a,este,candidato,qué,odia,a,los,profesionales,aparte,quiere,q,los,q,tengan,historial,criminal,esten,trabajando,en,las,empresas,en,el,escenario,q,un,asesino,q,quedo,libre,por,un,estado,sin,justicia,podría,ser,compañero,de,trabajoeso,este,tipo,quiere,hacer,los,verdaderos,profesionales,jamás,apoyariamos,a,este,candidato,,,,,,
esa,es,la,puritita,berdadlo,demas,es,cuento,de,charlatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enalfabeto,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
este,sapo,se,pasacállate,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rodrigo,paz,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opa,el,paco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,así,hay,gente,q,lo,apoyan,q,pena,por,bolivia,ojalá,reaccione,la,gente,y,sepa,dar,su,boto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el,mismo,relato,de,los,masistas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
será,que,califica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con,razón,estamos,como,estamos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la,honestidad,es,algo,que,muchos,no,conocen,y,lo,ven,simple,por,más,titulado,masterado,u,doctorado,que,tengan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si,eres,honrado,asta,tienes,la,bendición,de,dios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
este,maleant,que,sabe,d,honestidad,si,vivió,tantos,años,de,extorcionar,a,la,gente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahora,decís,eso,doble,moral,t,nes,que,ver,las,porquerías,de,gabraciones,que,hacías,para,refrescarte,la,memoria,te,olvidaste,que,denunciabas,corrupción,por,falta,de,estudios,de,gente,que,al,dedo,tenía,cargos,y,empleos,cuando,decías,que,la,gente,del,más,era,incompetente,por,falta,de,titulos,profesionales,que,rápido,cambiaste,de,opinión,no,,,,,,,,,,,,,,,,,,
viva,capitan,lara,presidente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vercion,evo,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ser,honesto,y,la,humildad,que,creo,que,le,hace,falta,a,alguien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poquita,lectura,aunque,sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calla,mal,te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evo,se,rodeo,de,sin,títulos,y,vean,que,paso,robaron,lindo,sin,ir,lejos,el,fondo,indígena,dirigió,una,campesina,sin,título,que,hizo,robo,tanto,que,hasta,ahora,no,devuelve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en,la,vida,no,hay,honestos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahora,aplica,totalmente,el,dicho,la,ignorancia,es,atrevida,edman,lara,cuando,necesites,una,cirugía,que,te,la,haga,alguien,que,no,ha,estudiado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esa,ignorancia,por,eso,estamos,como,estamos,no,hay,desarrollo,ni,tecnología,inteligencia,y,la,capacidad,son,primordiales,sobre,todo,experiencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recuerden,quien,decía,esas,mismas,palabras,y,en,la,historia,del,mundo,quienes,son,los,que,utilizan,ese,tipo,de,discurso,son,los,peores,líderes,de,la,historia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sobretodo,tener,a,dios,en,el,corazon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lo,dice,un,opa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cínico,el,opa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qué,mal,fomenta,la,deserción,escolar,es,importante,estudiar,formarse,educarse,los,valores,no,se,aprenden,en,la,escuela,ni,las,universidades,se,aprenden,en,casa,es,una,lastima,que,una,persona,que,estudió,siendo,mayor,de,edad,queriendo,superarse,tenga,esa,forma,de,pensar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eso,es,lo,que,le,falta,a,usted,señor,lara,honestidad,y,eso,no,se,aprende,en,las,universidades,se,aprende,en,casa,en,la,familia,y,a,usted,lo,amahestraron,en,la,policía,de,dudosa,y,mañosa,procedencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,entenderá,por,onesto,este,lary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
un,burro,no,nesesita,tener,titilos,la,persona,si,tiene,que,tener,conocimiento,de,cada,profesion,que,le,guste,hejerser,en,la,vida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ese,es,el,problema,que,usted,para,nada,honesto,es,lleno,de,casos,de,corrupción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
profesionales,o,no,puedan,ser,honestos,o,deshonestos,solo,este,tipejo,desmerece,a,uno,u,otro,cuando,le,conviene,y,donde,este,tipicos,discursos,de,odio,del,socialismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el,honesto,el,burro,hablando,de,orejas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
escuchar,ese,tipo,de,declaraciones,da,vergenza,está,tipo,es,el,q,quiere,gobernar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitomano,el,nepotismo,no,es,honestidad,es,corrupcion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
con,este,gobierno,saliente,quedo,demostrado,que,tener,estudios,si,sirve,a,parte,tener,mucha,cultura,conocimiento,es,lo,poco,que,se,requiere,para,poder,representar,un,país,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,es,importante,tener,especialidad,lo,importante,es,meterle,nomás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muy,bien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si,pero,tu,no,eres,honesto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
